L:1
0,0,0,0,0,0
44,44,0,0,44,44
44,43,43,43,43,44
44,43,43,43,43,44
44,43,43,43,43,44
44,43,43,43,43,44
44,44,44,44,44,44
0,0,0,0,0,0
L:2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,35;12,35;12,0,0
0,50;5,0,0,50;5,0
0,0,0,0,0,0
0,0,0,0,0,0
L:3
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,35;9,35;9,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,35;6,35;9,35;9,35;6,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:5
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,35;13,35;15,35;15,35;13,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:6
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,35;13,35;5,35;5,35;13,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:7
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,35;13,35;5,35;5,35;13,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:8
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,35;6,35;14,35;14,35;6,0
0,35;12,35;12,35;12,35;12,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:9
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,35;6,35;6,35;6,35;6,0
0,35;12,35;12,35;12,35;12,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:10
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
50;4,35;15,35;6,35;6,35;15,50;3
0,35;12,35;12,35;12,35;12,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:11
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,35;12,35;12,35;12,35;12,0
0,35;12,35;12,35;12,35;12,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
L:12
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
