L:1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,65;5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,24
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15
1,1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,1,13,13,1
1,1,15,1,1,1,1,1,1,1,1,1,1,1,1,13,13,13,13,1
1,1,1,1,1,1,1,1,1,1,15,15,1,13,13,13,13,13,13,15
L:2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,89,3,3,3,3,3,3,3,3,3,3,89,3,3,3,3,12
3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,12
3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,12
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12
3,3,1,65;5,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,12
3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12
3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,12
3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,12
3,3,3,89,3,3,3,3,3,3,3,3,3,3,89,3,3,3,3,12
3,3,3,3,3,3,3,3,3,1,1,1,1,3,1,1,1,1,3,1
3,3,3,3,3,3,3,3,3,1,44;5,53;3,44;5,1,44;5,53;3,44;5,1,3,1
3,3,3,3,3,3,3,3,3,1,0,0,0,1,0,0,0,1,3,1
3,3,3,3,3,3,3,3,3,3,1,64;3,1,1,1,64;3,1,3,3,1
