L:55
12,24,12,3,24,24,1,1,1,12,12,12,1
3,3,3,3,3,24,1,12,12,12,12,12,24
3,3,3,3,3,3,12,12,24,12,12,12,12
3,3,3,3,3,3,24,24,12,12,12,12,12
3,3,3,3,3,12,24,12,12,12,12,12,12
3,3,3,3,3,3,12,3,3,12,12,12,1
3,3,3,3,3,3,12,3,12,24,12,24,12
3,3,3,3,3,24,3,12,12,12,12,12,12
3,3,3,12,3,12,12,12,12,12,24,12,24
3,24,12,12,12,3,1,1,1,1,1,1,1
24,12,12,24,12,12,1,1,1,1,1,1,1
12,24,12,12,12,1,1,1,1,1,1,1,1
12,12,12,24,12,12,1,3,1,1,1,1,1
12,12,12,24,12,12,3,3,1,1,1,1,1
12,12,24,24,12,1,3,3,1,1,1,1,1
L:56
2,2,2,2,2,2,2,2,2,2,2,2,2
17,17,17,17,17,17,0,17,17,17,17,17,17
17,5,5,5,5,5,5,5,5,5,5,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,60;7,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,60;7,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,60;7,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,60;7,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,60;7,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,60;7,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,5,5,17
17,5,60;7,9,60;7,9,9,9,60;7,9,5,5,17
17,5,60;7,9,60;7,9,60;7,9,60;7,9,5,5,17
17,5,5,5,5,5,5,5,5,5,5,5,17
17,17,17,17,17,17,17,17,17,17,17,17,17
2,2,2,2,2,2,2,2,2,2,2,2,2
L:57
38,0,0,0,0,31;2,64;7,0,37,31;1,0,0,31;1
17,18;12,18;12,18;12,18;12,17,0,17,18;12,18;12,18;12,18;4,17
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,59;7,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,59;7,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,59;7,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,59;7,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,59;7,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,59;7,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,0,0,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,0,54;4,18;4
18;4,0,59;7,111,59;7,111,0,111,59;7,111,0,54;4,18;4
18;12,0,0,0,0,0,0,0,0,0,0,58,18;4
17,18;12,18;12,18;12,18;12,17,64;3,17,18;12,18;4,18;4,18;4,17
37,37,0,0,0,0,0,0,0,0,0,0,0
L:58
0,0,0,0,0,0,64;8,0,0,0,0,0,0
17,18;12,18;12,18;12,18;12,17,0,17,18;12,18;12,18;12,18;4,17
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;4,0,0,0,0,0,0,0,0,0,0,0,18;4
18;12,0,0,0,0,0,0,0,0,0,0,0,18;4
17,18;12,18;12,18;12,18;12,17,64;13,17,18;12,18;4,18;4,18;4,17
0,0,0,0,0,0,0,0,0,0,0,0,0
L:59
0,0,0,0,50;4,0,0,0,50;4,0,0,0,0
17,5,5,5,5,17,5,17,5,5,5,5,17
5,0,0,0,50;3,0,0,0,50;3,0,0,0,5
5,0,0,0,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,0,0,0,5
5,50;1,0,0,0,0,0,0,0,0,0,50;2,5
5,0,0,0,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,0,0,0,5
5,50;1,0,0,0,0,0,0,0,0,0,50;2,5
5,0,0,0,0,0,0,0,0,0,0,0,5
5,0,0,0,0,0,0,0,0,0,0,0,5
5,0,0,0,50;4,0,0,0,50;4,0,0,0,5
17,5,5,5,5,17,5,17,5,5,5,5,17
0,0,0,0,50;3,0,0,0,50;3,0,0,0,0
L:60
0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,20,20,20,20,20,20,20,20,20,20,20
20,20,0,0,0,0,0,0,0,0,0,20,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,0,0,0,0,0,0,0,0,0,0,0,20
20,20,0,0,0,0,0,0,0,0,0,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20
0,0,0,0,0,0,0,0,0,0,0,0,0
L:61
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,20,20,20,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
