L:1
0,0,0,0,0,0,0,0,0,0
0,35;15,35;15,35;15,35;15,35;15,35;15,35;15,35;15,0
0,35;15,35;15,35;15,35;15,35;15,35;15,35;15,35;15,0
L:2
0,0,0,0,0,0,0,0,0,0
0,0,35;14,35;14,35;14,35;14,35;14,35;14,0,0
0,0,35;14,35;14,35;14,35;14,35;14,35;14,0,0
L:3
0,0,0,0,0,0,0,0,0,0
0,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,0
0,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,0
L:4
0,0,0,0,0,0,0,0,0,0
35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14
35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14
L:5
0,0,0,0,0,0,0,0,0,0
35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;8,35;8
35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14
L:6
0,0,0,35;8,35;8,35;8,35;8,0,0,0
35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;8,35;8
35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14
L:7
0,0,0,0,20,20,0,0,0,0
0,35;14,35;14,35;15,35;15,35;15,35;15,35;8,35;8,0
0,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,0
L:8
0,0,0,0,20,20,0,0,0,0
0,35;14,35;14,35;15,35;15,35;15,35;15,35;8,35;8,0
0,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,0
L:9
0,0,0,0,20,20,0,0,0,0
0,35;14,35;14,35,35,35,35,35,35,0
0,35;14,35;14,35;14,35;14,35;14,35;14,35;14,35;14,0
L:10
0,0,0,0,35;15,35;15,0,0,0,0
0,35;14,35;14,35,35,35,35,35,0,0
0,35;14,35;14,35;14,35;14,35;14,35;14,35;14,0,0
L:11
0,0,0,0,20,20,0,0,0,0
0,0,35;14,35,35,35,35,35,0,0
0,0,35;14,35;14,35;14,35;14,35;14,35;14,0,0
L:12
0,0,0,0,20,20,0,0,0,0
0,0,35;14,35,35,35,35,35,0,0
0,0,35;14,35;14,35;14,35;14,35;14,35;14,0,0
