L:1
2,2,2,2,98,2,2,2,2
3,3,3,3,98,3,3,3,3
3,98,98,3,98,98,98,2,3
3,98,98,3,98,98,98,2,3
3,98,98,3,98,98,98,2,3
3,98,98,98,98,98,98,98,3
3,98,98,98,98,98,98,98,3
3,98,98,98,98,98,98,98,3
3,98,98,98,98,98,98,98,3
3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2
L:2
0,0,31;1,0,0,0,0,0,0
98,98,98,98,64;1,98,98,98,98
98,0,0,98,0,0,0,54;4,98
98,0,0,98,0,0,0,54;4,98
98,0,0,98,0,0,0,118,98;1
98;2,107;2,98,98,0,0,0,98,98;1
98;2,0,0,0,0,0,0,118,98;1
98;2,0,0,0,0,0,0,54;4,98
98,61;2,61;2,58,0,0,0,54;4,98
98,98,98,98,98;1,98;1,98,98,98
0,0,0,0,0,37,0,0,0
L:3
0,0,0,68;2,0,0,0,0,0
98;1,102,102,98,64;8,98,102,102,98
102,0,0,0,0,0,0,0,102
102,0,0,0,0,0,0,0,102
102,0,0,0,0,0,0,0,102
98;2,0,0,0,0,0,0,117;7,98;1
102,0,0,0,0,0,0,0,102
102,0,0,0,0,0,0,0,102
102,0,0,0,0,0,0,0,102
98,102,102,102,98;1,102,102,102,98
0,0,0,0,0,0,0,0,0
L:4
0,0,50;4,0,0,0,50;4,0,0
98;1,98;1,98,98,98,98,98,98;2,98;2
98,0,0,50;3,0,50;3,0,0,98
98,0,0,0,0,0,0,0,98
98,50;1,0,0,0,0,0,50;2,98
98,0,0,0,0,0,0,0,98;1
98,50;1,0,0,0,0,0,0,98;2
98,0,0,0,0,0,0,0,98
98,0,0,50;4,0,0,0,0,98;2
98;2,98;2,98,98,98;1,98;1,98,98,98;2
0,0,50;3,0,0,0,50;3,0,0
L:5
0,0,0,0,0,0,0,0,0
98;1,98;1,98;1,98,98,98,98,98;2,98;2
98;1,98,98,98,98,98,98,98;2,98;2
98,98,98,98,98,98,98,98;1,98
98,98,98,98,98,98,98,98;1,98;1
98,98,98,98,98,98,98,98;1,98;1
98,98,98,98,98,98,98,98;2,98;2
98,98,98,98,98,98,98,98;2,98;2
98;2,98,98,98,98;1,98;1,98,98;2,98;2
98;2,98;2,98,98;1,98;1,98;1,98,98,98;2
0,0,0,0,0,0,0,0,0
L:6
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,98,98,98,98,98,0,0
0,0,98,98,98,98,98;1,0,0
0,0,98,98,98,98,98;1,0,0
0,0,98,98,98,98,98;2,0,0
0,0,98,98,98,98,98,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
L:7
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,98,98,98,0,0,0
0,0,0,98,98,98,0,0,0
0,0,0,98,98,98,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
L:8
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,20,20,20,20,20,0,0
0,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,0
0,20,20,20,20,20,20,20,0
0,0,20,20,20,20,20,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
L:9
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,20,20,20,20,20,0,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,0,20,20,20,20,20,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
L:10
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,20,20,20,20,20,0,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,0,20,20,20,20,20,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
L:11
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,20,20,20,20,20,0,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,20,9,9,9,9,9,20,0
0,0,20,20,20,20,20,0,0
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
L:12
0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0
0,0,0,20,20,20,0,0,0
0,0,20,20,9,20,20,0,0
0,20,20,9,9,9,20,20,0
0,20,9,9,9,9,9,20,0
0,20,20,9,9,9,20,20,0
0,0,20,20,9,20,20,0,0
