L:0
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
L:1
0,0,3,3,3,3,3,3,3,3,3,3,3
3,3,3,43,43,43,43,3,3,3,3,3,3
3,3,43,43,43,43,43,43,43,43,43,3,3
3,3,43,11,11,11,11,11,11,11,43,3,3
0,0,43,11,11,11,11,11,11,11,43,3,3
3,3,43,11,11,11,11,11,11,11,43,3,3
3,3,43,11,11,11,11,11,11,11,43,3,3
3,3,43,11,11,11,11,11,11,11,43,3,3
3,3,43,11,11,11,11,11,11,11,43,3,3
3,3,43,11,11,11,11,11,11,11,43,3,3
3,3,43,43,43,43,43,43,43,43,43,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
L:2
3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,43,43,43,43,43,43,43,3,3,3
3,3,43,43,43,43,20,43,43,43,43,3,3
3,3,43,20,20,20,20,20,20,20,43,3,3
3,3,43,20,20,20,20,20,20,20,43,3,3
3,3,43,20,20,20,20,20,20,20,43,3,3
3,3,43,20,20,20,20,20,20,20,43,3,3
3,3,43,20,20,20,20,20,20,20,43,3,3
3,3,43,20,20,20,20,20,20,20,43,3,3
3,3,43,20,20,20,20,20,20,20,43,3,3
3,3,1,43,43,43,43,43,43,43,43,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3
L:3
2,2,2,2,2,2,2,2,2,2,2,2,2
0,3,3,43,43,3,3,3,3,3,3,3,2
2,3,43,43,43,43,43,98,98,98,43,3,2
2,3,43,9,9,43,98,9,9,9,98,3,2
0,0,43,9,9,43,98,9,9,9,98,3,2
2,3,43,43,43,43,98,9,9,9,98,3,2
2,3,43,43,43,43,98,9,9,9,98,43,17;1
2,3,43,43,43,43,98,9,9,9,98,3,2
2,3,43,43,43,43,98,9,9,9,98,3,2
2,3,43,43,43,43,98,9,9,9,98,3,2
2,3,1,43,43,43,43,98,98,98,43,3,2
2,3,1,3,3,3,3,3,3,3,3,3,2
L:4
0,38,0,0,0,0,0,0,0,0,0,0,37
31;2,43,43,43,43,43,43,43,43,43,43,43,0
0,43,50;5,0,0,43,0,0,0,0,50;5,43,0
0,43,0,0,0,43,0,0,0,0,0,43,0
0,43,0,0,0,43,0,0,0,0,0,43,0
