L:1
2,2,2,2,2,2,2
2,2,4,4,4,2,2
2,4,9,9,9,4,2
2,4,9,9,9,4,2
2,4,9,9,9,4,2
2,2,4,4,4,2,2
L:2
50;5,0,38,0,0,37,50;5
0,0,4,4,4,0,0
0,4,0,0,0,4,0
68;4,4,0,0,0,4,37
0,4,0,0,0,4,0
0,0,4,4,4,0,31;1
L:3
0,0,0,0,0,0,0
0,0,0,85,0,0,0
0,0,0,0,0,0,0
0,85,0,42,0,85,0
0,0,0,0,0,0,0
0,0,0,85,0,0,0
L:4
0,0,0,0,0,0,0
0,0,0,85,0,0,0
0,0,0,0,0,0,0
0,85,0,85,0,85,0
0,0,0,0,0,0,0
0,0,0,85,0,0,0
L:5
0,0,0,0,0,0,0
0,53,5,5,5,53;1,0
0,53,0,44;2,0,53;1,0
0,53,0,44;2,0,53;1,0
0,53,0,44;2,0,53;1,0
0,53,5,5,5,53;1,0
L:6
0,0,0,0,0,0,0
0,0,53,5,53;1,0,0
0,0,53,5,53;1,0,0
0,0,53,5,53;1,0,0
0,0,53,5,53;1,0,0
0,0,53,5,53;1,0,0
L:7
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
