L:1
2,2,2,2,2,2,2,2,2,2,2,2,17;1
2,3,3,3,3,3,3,3,3,3,3,2,17;1
2,3,35;14,35,35;14,35,35;14,35,35;14,35,3,2,17;1
2,3,35,35;14,35,35;14,35,35;14,35,35;14,3,2,17;1
2,3,35;14,35,35;14,35,35;14,3,3,3,3,2,17;1
2,3,35,35;14,35,35;14,35,3,2,2,2,2,17;1
2,3,35;14,35,35;15,35;15,35;14,3,2,2,2,2,17;1
2,3,35,35;14,35;15,35;15,35,17;1,17;1,17;1,17;1,17;1,17;1
2,3,35;14,35,35;14,35,35;14,3,2,2,2,2,17;1
2,3,35,35;14,35,35;14,35,3,2,2,2,2,17;1
2,3,3,3,3,3,3,3,2,2,2,2,17;1
2,2,2,2,2,2,2,2,2,2,2,2,17;1
L:2
0,0,0,0,0,37,0,0,0,0,0,38,0
0,17,5,5,5,5,5,5,5,5,17,0,0
31;1,5,47,47,68;4,53;3,68;5,0,0,58,5,0,0
0,5,26;9,26;1,0,0,0,0,0,61;4,5,0,0
0,5,26;9,26;1,0,0,68;2,5,5,5,17,0,0
0,5,0,0,0,68;4,2,5,37,38,37,0,0
0,5,54;5,0,0,0,68;3,5,37,38,37,0,0
0,5,54;5,0,0,0,0,64;2,0,0,0,0,0
0,5,0,0,0,0,0,5,38,37,38,0,0
0,5,68;4,53;2,53;2,53;2,68;5,5,38,37,38,0,0
31;1,17,5,5,5,5,5,17,85,85,85,0,0
0,0,0,0,31;2,0,0,0,0,0,0,37,0
L:3
0,0,0,0,0,0,0,0,0,0,0,0,0
0,17,102,102,102,102,102,102,102,102,17,0,0
0,102,0,0,0,0,0,0,0,0,102,0,0
0,102,0,0,0,0,0,0,0,0,102,0,0
0,102,0,0,0,0,0,5,102,102,17,0,0
0,102,0,0,0,0,38,102,0,0,0,0,0
0,102,0,0,0,0,0,5,0,0,0,0,0
0,102,0,0,0,0,0,64;8,0,0,0,0,0
0,102,0,0,0,0,0,5,68;5,0,0,0,0
0,102,0,0,0,0,0,102,0,0,0,0,0
0,17,102,102,102,102,102,17,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
L:4
0,0,0,50;4,0,0,0,0,50;4,0,0,0,0
